x,l_acc_x,l_acc_y,l_acc_z,r_acc_x,r_acc_y,r_acc_z
138,0.219,1.078,0.155,-0.087,0.645,-0.598
139,0.225,0.978,0.032,-0.038,0.583,-0.660
140,0.176,0.962,-0.136,0.033,0.520,-0.664
141,0.070,0.915,-0.329,0.071,0.527,-0.657
142,-0.037,0.879,-0.556,0.079,0.612,-0.683
143,-0.057,0.878,-0.712,0.112,0.696,-0.638
144,0.054,0.860,-0.794,0.160,0.729,-0.539
145,0.247,0.781,-0.909,0.172,0.753,-0.336
146,0.461,0.786,-0.931,0.130,0.796,0.022
147,0.664,0.778,-0.945,0.087,0.822,0.249
148,0.783,0.706,-1.087,0.103,0.861,0.346
149,0.806,0.666,-1.222,0.146,0.904,0.375
150,0.710,0.605,-1.185,0.178,0.930,0.272
151,0.517,0.640,-1.044,0.123,0.980,0.232
152,0.292,0.716,-0.982,0.032,0.979,0.177
153,0.215,0.732,-0.887,-0.007,0.941,0.082
154,0.230,0.737,-0.721,-0.004,0.885,-0.017
155,0.264,0.710,-0.594,-0.007,0.856,-0.230
156,0.267,0.634,-0.538,-0.057,0.867,-0.490
157,0.222,0.603,-0.537,-0.056,0.846,-0.688
158,0.163,0.661,-0.513,-0.068,0.762,-0.888
159,0.112,0.751,-0.516,-0.125,0.643,-0.961
160,0.082,0.826,-0.444,-0.269,0.560,-1.096
161,0.083,0.917,-0.313,-0.469,0.493,-1.181
162,0.086,1.066,-0.114,-0.736,0.500,-1.269
163,0.124,1.194,0.261,-0.894,0.640,-1.433
164,0.138,1.144,0.490,-1.028,0.672,-1.551
165,0.121,1.174,0.577,-0.967,0.671,-1.571
166,0.113,1.195,0.496,-0.835,0.699,-1.510
167,0.146,1.186,0.353,-0.608,0.715,-1.369
168,0.218,1.177,0.307,-0.438,0.677,-1.169
169,0.257,1.180,0.233,-0.325,0.631,-0.916
170,0.254,1.150,0.157,-0.226,0.621,-0.730
171,0.242,1.052,0.075,-0.158,0.593,-0.704
172,0.195,0.977,-0.071,-0.065,0.527,-0.737
173,0.120,0.983,-0.208,0.027,0.487,-0.699
174,-0.004,0.914,-0.419,0.074,0.535,-0.702
175,-0.102,0.869,-0.605,0.089,0.625,-0.694
176,-0.104,0.844,-0.733,0.143,0.695,-0.653
177,0.025,0.802,-0.782,0.191,0.728,-0.498
178,0.240,0.770,-0.821,0.206,0.761,-0.184
179,0.479,0.808,-0.841,0.161,0.751,0.153
180,0.698,0.764,-0.943,0.137,0.769,0.299
181,0.859,0.672,-1.106,0.187,0.866,0.427
182,0.887,0.556,-1.200,0.214,0.919,0.456
183,0.735,0.497,-1.142,0.201,0.949,0.369
184,0.494,0.599,-0.991,0.141,1.007,0.320
185,0.267,0.686,-0.956,0.044,0.993,0.215
186,0.190,0.708,-0.845,0.002,0.967,0.109
187,0.216,0.715,-0.679,0.008,0.939,0.026
188,0.259,0.707,-0.544,0.005,0.917,-0.122
189,0.272,0.644,-0.485,-0.050,0.924,-0.371
190,0.233,0.604,-0.532,-0.071,0.830,-0.593
191,0.182,0.639,-0.541,-0.090,0.734,-0.855
192,0.126,0.740,-0.547,-0.117,0.643,-0.967
193,0.092,0.841,-0.499,-0.241,0.523,-1.104
194,0.092,0.912,-0.367,-0.417,0.483,-1.239
195,0.101,1.047,-0.151,-0.660,0.505,-1.297
196,0.122,1.195,0.220,-0.869,0.605,-1.355
197,0.131,1.156,0.453,-0.964,0.680,-1.539
198,0.119,1.183,0.546,-1.029,0.650,-1.542
199,0.093,1.217,0.499,-0.900,0.658,-1.512
